0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
USA,0.003579216,0.005419308,0.00685325,0.008535691,0.010217332,0.011401948,0.012666414,0.013962532,0.015270773,0.016590541,0.017932383,0.01939719,0.02085665,0.022281328,0.023654018,0.02496913,0.02623021,0.027441777,0.028618591,0.029765496,0.030883811,0.031975288,0.033043737,0.034019159,0.034999809,0.035989169,0.036988143,0.037997568,0.039019449,0.040069113,0.041126855,0.042182493,0.043228576,0.044260732,0.04527758,0.046250996,0.047209432,0.048144064,0.049047943,0.049916145,0.050745775,0.051535776,0.052286651,0.053000147,0.053678962,0.054326486,0.054946599,0.055543054,0.056117305,0.056672704,0.057210758,0.057732163,0.058237426,0.058727201,0.059202435,0.059664403,0.060114689,0.060555138,0.060987797,0.061431914,0.061867495,0.06228921,0.062693562,0.063078516,0.063443225,0.063787797,0.064113094,0.064420567,0.06471211,0.064989947,0.065256536,0.065493833,0.065727607,0.065960193,0.066192374,0.066424145,0.066655192,0.066885167,0.067113844,0.067341184,0.067567352,0.067792719,0.068017837,0.06824517,0.068476714,0.068712834,0.068953534,0.069198716,0.069448339,0.069702496,0.069961451,0.070225635,0.070495638,0.070772183,0.071056101,0.071365695,0.071680194,0.071999112,0.072321764,0.07264747,0.072975678,0.073306022,0.07363834,0.073972668,0.074309215,0.074648348,0.074990556,0.075322934,0.075651215,0.075967287,0.076266038,0.076544418,0.076800804,0.07703457,0.077245788,0.077435016,0.077603159,0.077751354,0.077880906
AK,0.003579216,0.005419308,0.00685325,0.008535691,0.010217332,0.011401948,0.012666414,0.013962532,0.015270773,0.016590541,0.017932383,0.01939719,0.02085665,0.022281328,0.023654018,0.02496913,0.02623021,0.027441777,0.028618591,0.029765496,0.030883811,0.031975288,0.033043737,0.034019159,0.034999809,0.035989169,0.036988143,0.037997568,0.039019449,0.040069113,0.041126855,0.042182493,0.043228576,0.044260732,0.04527758,0.046250996,0.047209432,0.048144064,0.049047943,0.049916145,0.050745775,0.051535776,0.052286651,0.053000147,0.053678962,0.054326486,0.054946599,0.055543054,0.056117305,0.056672704,0.057210758,0.057732163,0.058237426,0.058727201,0.059202435,0.059664403,0.060114689,0.060555138,0.060987797,0.061431914,0.061867495,0.06228921,0.062693562,0.063078516,0.063443225,0.063787797,0.064113094,0.064420567,0.06471211,0.064989947,0.065256536,0.065493833,0.065727607,0.065960193,0.066192374,0.066424145,0.066655192,0.066885167,0.067113844,0.067341184,0.067567352,0.067792719,0.068017837,0.06824517,0.068476714,0.068712834,0.068953534,0.069198716,0.069448339,0.069702496,0.069961451,0.070225635,0.070495638,0.070772183,0.071056101,0.071365695,0.071680194,0.071999112,0.072321764,0.07264747,0.072975678,0.073306022,0.07363834,0.073972668,0.074309215,0.074648348,0.074990556,0.075322934,0.075651215,0.075967287,0.076266038,0.076544418,0.076800804,0.07703457,0.077245788,0.077435016,0.077603159,0.077751354,0.077880906
AL,0.003579216,0.005419308,0.00685325,0.008535691,0.010217332,0.011401948,0.012666414,0.013962532,0.015270773,0.016590541,0.017932383,0.01939719,0.02085665,0.022281328,0.023654018,0.02496913,0.02623021,0.027441777,0.028618591,0.029765496,0.030883811,0.031975288,0.033043737,0.034019159,0.034999809,0.035989169,0.036988143,0.037997568,0.039019449,0.040069113,0.041126855,0.042182493,0.043228576,0.044260732,0.04527758,0.046250996,0.047209432,0.048144064,0.049047943,0.049916145,0.050745775,0.051535776,0.052286651,0.053000147,0.053678962,0.054326486,0.054946599,0.055543054,0.056117305,0.056672704,0.057210758,0.057732163,0.058237426,0.058727201,0.059202435,0.059664403,0.060114689,0.060555138,0.060987797,0.061431914,0.061867495,0.06228921,0.062693562,0.063078516,0.063443225,0.063787797,0.064113094,0.064420567,0.06471211,0.064989947,0.065256536,0.065493833,0.065727607,0.065960193,0.066192374,0.066424145,0.066655192,0.066885167,0.067113844,0.067341184,0.067567352,0.067792719,0.068017837,0.06824517,0.068476714,0.068712834,0.068953534,0.069198716,0.069448339,0.069702496,0.069961451,0.070225635,0.070495638,0.070772183,0.071056101,0.071365695,0.071680194,0.071999112,0.072321764,0.07264747,0.072975678,0.073306022,0.07363834,0.073972668,0.074309215,0.074648348,0.074990556,0.075322934,0.075651215,0.075967287,0.076266038,0.076544418,0.076800804,0.07703457,0.077245788,0.077435016,0.077603159,0.077751354,0.077880906
AR,0.003579216,0.005419308,0.00685325,0.008535691,0.010217332,0.011401948,0.012666414,0.013962532,0.015270773,0.016590541,0.017932383,0.01939719,0.02085665,0.022281328,0.023654018,0.02496913,0.02623021,0.027441777,0.028618591,0.029765496,0.030883811,0.031975288,0.033043737,0.034019159,0.034999809,0.035989169,0.036988143,0.037997568,0.039019449,0.040069113,0.041126855,0.042182493,0.043228576,0.044260732,0.04527758,0.046250996,0.047209432,0.048144064,0.049047943,0.049916145,0.050745775,0.051535776,0.052286651,0.053000147,0.053678962,0.054326486,0.054946599,0.055543054,0.056117305,0.056672704,0.057210758,0.057732163,0.058237426,0.058727201,0.059202435,0.059664403,0.060114689,0.060555138,0.060987797,0.061431914,0.061867495,0.06228921,0.062693562,0.063078516,0.063443225,0.063787797,0.064113094,0.064420567,0.06471211,0.064989947,0.065256536,0.065493833,0.065727607,0.065960193,0.066192374,0.066424145,0.066655192,0.066885167,0.067113844,0.067341184,0.067567352,0.067792719,0.068017837,0.06824517,0.068476714,0.068712834,0.068953534,0.069198716,0.069448339,0.069702496,0.069961451,0.070225635,0.070495638,0.070772183,0.071056101,0.071365695,0.071680194,0.071999112,0.072321764,0.07264747,0.072975678,0.073306022,0.07363834,0.073972668,0.074309215,0.074648348,0.074990556,0.075322934,0.075651215,0.075967287,0.076266038,0.076544418,0.076800804,0.07703457,0.077245788,0.077435016,0.077603159,0.077751354,0.077880906
AZ,0.012757927,0.018256494,0.020061589,0.02386024,0.028034593,0.029849005,0.032047255,0.034369422,0.036688304,0.038963981,0.041209097,0.043270539,0.045507101,0.047891378,0.050388835,0.052975038,0.055640101,0.058223804,0.06083243,0.063413226,0.065933105,0.068377402,0.070746829,0.072903517,0.075046996,0.077188878,0.079335444,0.081493872,0.083674906,0.085693703,0.087772733,0.089899609,0.092060732,0.094245431,0.096447847,0.098650659,0.100864312,0.10308013,0.105288182,0.107479677,0.109648207,0.11179012,0.113904374,0.115992136,0.118056317,0.120101114,0.122131602,0.124112865,0.126066001,0.127973308,0.129822653,0.131606625,0.133321735,0.134967648,0.136546489,0.138062237,0.139520229,0.140926751,0.142288722,0.143576742,0.144836722,0.146075888,0.147299213,0.148510719,0.149714247,0.150913844,0.152113923,0.153319273,0.154535009,0.155766476,0.157019148,0.158334516,0.159656971,0.160967182,0.162250168,0.163494722,0.164692902,0.165839531,0.166931745,0.16796858,0.168950614,0.16987967,0.170758566,0.171561541,0.172333438,0.17308501,0.173822924,0.174551444,0.175273572,0.175991787,0.176708487,0.177426242,0.17814792,0.178876738,0.179616264,0.18036385,0.181130624,0.181916763,0.182721321,0.183542922,0.184380183,0.185231931,0.186097289,0.1869757,0.187866901,0.188770884,0.189687844,0.190525224,0.191376492,0.192237941,0.193108071,0.193986992,0.194876033,0.195777451,0.196694218,0.197629839,0.198588222,0.199573556,0.200590217
CA,0.009703466,0.014381953,0.017186004,0.021370412,0.025688126,0.028382742,0.031426184,0.034639174,0.037916598,0.041216322,0.044537816,0.048193101,0.051800288,0.055308926,0.058694612,0.061955221,0.065105029,0.06818287,0.071207407,0.074176692,0.077086794,0.079938611,0.082739935,0.085141734,0.087549834,0.089964428,0.092378861,0.094786978,0.097186526,0.099502047,0.101787073,0.10401851,0.106183105,0.108276234,0.110300567,0.112303786,0.114258797,0.116169426,0.118036844,0.119861732,0.121645537,0.123391013,0.125102321,0.12678489,0.128445174,0.130090387,0.131728253,0.133487948,0.135236209,0.136968841,0.138680797,0.140367638,0.14202626,0.143655115,0.145254149,0.146824605,0.148368765,0.149889694,0.151391016,0.152806319,0.154198229,0.155552818,0.156860657,0.158116118,0.159316734,0.160462604,0.161555849,0.162600142,0.163600313,0.164562021,0.165491493,0.166422042,0.167329521,0.168218144,0.169090126,0.169946732,0.17078892,0.171617687,0.172434231,0.173239996,0.174036662,0.174826107,0.175610347,0.176422948,0.177269891,0.178174197,0.179149337,0.180202748,0.181338149,0.182557041,0.183859647,0.185245494,0.186713761,0.188263473,0.189893606,0.191505723,0.193145516,0.194779923,0.196385837,0.197947222,0.199453111,0.2008962,0.202271827,0.203577258,0.204811156,0.205973204,0.207063833,0.208180552,0.209224169,0.210185679,0.2110598,0.211843899,0.212537242,0.213140454,0.213655133,0.214083572,0.214428558,0.214693222,0.214880937
CO,0.009097773,0.013555878,0.0147674,0.01760064,0.02102739,0.024887647,0.028824596,0.032691425,0.036440959,0.040075058,0.043619565,0.046694197,0.04978343,0.052825728,0.055786645,0.058654629,0.061435083,0.063939354,0.066395779,0.068799112,0.07114444,0.0734316,0.075666396,0.077800156,0.079878465,0.081893607,0.083845109,0.08573905,0.087587091,0.089410741,0.091214851,0.092992625,0.094736342,0.096440443,0.098102852,0.099830059,0.101499466,0.103093823,0.104600452,0.106011038,0.107321276,0.108530343,0.109640292,0.110655468,0.111581993,0.112427324,0.113199908,0.11368359,0.114135547,0.1145728,0.115005025,0.115437776,0.115874554,0.116318039,0.116770779,0.11723554,0.117715445,0.118213988,0.118734993,0.11936737,0.12000527,0.12063307,0.121240076,0.12181944,0.122367336,0.122882303,0.123364712,0.123816324,0.124239949,0.124639172,0.125018133,0.125332714,0.12565683,0.126002542,0.126375534,0.126777834,0.127209559,0.127669988,0.128158189,0.128673358,0.12921499,0.129782933,0.130377381,0.131082208,0.131812924,0.132566763,0.133341472,0.134135385,0.134947449,0.13577719,0.136624655,0.13749033,0.138375066,0.139280002,0.140206497,0.140975034,0.141746992,0.142507967,0.143247418,0.143957828,0.144634073,0.145272916,0.1458726,0.146432533,0.146953023,0.14743508,0.147880261,0.148338062,0.148771306,0.149184341,0.149580613,0.14996305,0.150334328,0.150697036,0.151053764,0.151407148,0.151759884,0.152114718,0.152474433
CT,0.006899703,0.009962232,0.010857083,0.012808704,0.014984964,0.016030131,0.017331729,0.01878159,0.020316481,0.021906264,0.023542513,0.025044836,0.026581687,0.028105573,0.029590692,0.03102892,0.032425081,0.033929612,0.035416128,0.036886955,0.038341205,0.039779001,0.041203088,0.042455741,0.043716858,0.044973117,0.04621285,0.047427947,0.04861441,0.049645207,0.050664761,0.051679295,0.052692963,0.053709777,0.054734604,0.055758956,0.056782319,0.057792091,0.058778927,0.059736552,0.060661495,0.061552691,0.06241103,0.063238914,0.064039857,0.064818152,0.065578597,0.066308859,0.067030698,0.067751342,0.068473777,0.069198722,0.069925865,0.070654585,0.071384345,0.072114874,0.072846233,0.073578815,0.074313313,0.075020901,0.075732514,0.076444581,0.077154248,0.077859523,0.07855931,0.079253353,0.079942137,0.080626759,0.081308806,0.08199024,0.082673292,0.083363674,0.084050114,0.084727091,0.085390491,0.086037392,0.086665889,0.087274928,0.087864156,0.088433778,0.088984445,0.089517153,0.090033159,0.090508028,0.090973378,0.091430507,0.091879998,0.092322118,0.092757068,0.093185127,0.093606714,0.094022409,0.094432955,0.094839238,0.095242264,0.095675858,0.096104458,0.096529736,0.096952913,0.097374992,0.097796911,0.098219624,0.098644137,0.09907152,0.099502903,0.099939461,0.100382404,0.10078833,0.1011965,0.101599567,0.101992708,0.102372904,0.102738441,0.103088557,0.103423182,0.103742755,0.104048082,0.104340237,0.104620484
DC,0.007210011,0.010345598,0.011147836,0.013372884,0.015916201,0.017142617,0.018704578,0.020454005,0.022298657,0.024192443,0.026120133,0.027957619,0.02981667,0.031651082,0.033438681,0.035175758,0.036871584,0.038642497,0.040401102,0.042146194,0.043875452,0.045588968,0.047290365,0.048767342,0.050262952,0.051762445,0.053250525,0.054715129,0.056148847,0.057422933,0.058677692,0.059919318,0.06115291,0.062384093,0.063619839,0.064827181,0.066035735,0.067236582,0.068423096,0.069590981,0.070738186,0.071864663,0.072972021,0.074063157,0.075141911,0.076212765,0.077280595,0.07835648,0.079431843,0.080508521,0.081585525,0.082660732,0.083731889,0.084797134,0.085855218,0.086905558,0.087948193,0.088983703,0.090013114,0.090985248,0.091952242,0.092909342,0.093853006,0.094780969,0.095692211,0.09658683,0.097465877,0.098331186,0.099185199,0.100030818,0.100871275,0.101764928,0.102646683,0.103510992,0.104354,0.105173228,0.10596733,0.106735876,0.107479169,0.108198081,0.108893918,0.109568308,0.110223112,0.110866564,0.111501132,0.112131019,0.112758533,0.113384933,0.114010971,0.11463721,0.115264205,0.115892595,0.116523139,0.117156721,0.117794343,0.118404922,0.11901489,0.119622235,0.120225571,0.120824057,0.121417329,0.122005424,0.122588708,0.123167813,0.123743569,0.124316958,0.124889068,0.125470541,0.126051241,0.126623774,0.127182947,0.127725215,0.128248279,0.128750787,0.129232113,0.12969218,0.130131329,0.130550223,0.130949763
DE,0.006315082,0.009069617,0.009772958,0.011552522,0.013577355,0.014510067,0.015669358,0.016948635,0.018289231,0.019666422,0.021076993,0.022399976,0.02376029,0.025116327,0.026443899,0.027734291,0.028990731,0.030327663,0.031652178,0.032965656,0.034266412,0.035553719,0.036829395,0.037927742,0.039038443,0.040151325,0.041256994,0.042348947,0.043424292,0.044362106,0.045298773,0.046237329,0.047179617,0.048127947,0.04908592,0.050041726,0.051000799,0.051953561,0.052892384,0.053811853,0.054708813,0.05558218,0.056432612,0.057262156,0.058073899,0.058871662,0.05965975,0.060443204,0.061220752,0.061994764,0.062765155,0.06353078,0.064290278,0.065042523,0.065786826,0.066522996,0.067251318,0.067972495,0.068687574,0.069360619,0.070032272,0.070700853,0.071364898,0.072023436,0.072676121,0.073323245,0.073965693,0.074604851,0.075242517,0.075880802,0.076522044,0.077185323,0.077846482,0.078499928,0.079141368,0.079767657,0.080376656,0.080967085,0.081538384,0.082090573,0.082624139,0.083139932,0.083639084,0.084098765,0.084547704,0.084986694,0.085415979,0.0858356,0.086245614,0.086646212,0.087037766,0.087420849,0.087796219,0.088164803,0.088527667,0.08889884,0.089264055,0.089625372,0.089984246,0.090341812,0.090699067,0.091056971,0.091416502,0.09177868,0.092144569,0.092515271,0.092891917,0.093233136,0.093576374,0.09391502,0.094244762,0.094562926,0.094868034,0.095159475,0.095437276,0.095701933,0.095954282,0.096195406,0.096426566
