0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
USA,0.003579216,0.005419308,0.006843336,0.008513775,0.010201776,0.011420561,0.012743737,0.01411904,0.015521738,0.01694704,0.018402759,0.019978425,0.021557941,0.023108399,0.024610242,0.026056219,0.027448654,0.028797983,0.030109694,0.031386627,0.032629,0.033837937,0.035016832,0.036096212,0.03717087,0.038243509,0.039314796,0.040385627,0.041458217,0.042543821,0.043629483,0.044703663,0.045758412,0.046789372,0.047795465,0.048752738,0.049685542,0.050587007,0.051451681,0.052275778,0.053057247,0.053795656,0.054491958,0.055148226,0.055767395,0.056353027,0.05690913,0.057439419,0.057947011,0.058435706,0.058907347,0.059362859,0.059802908,0.060228256,0.060639918,0.06103922,0.061427778,0.06180746,0.062180331,0.062563261,0.06293873,0.063301981,0.063649888,0.063980673,0.064293684,0.064589207,0.064868285,0.065132562,0.065384145,0.065625491,0.065859308,0.066069585,0.066280099,0.066492937,0.066708588,0.066926742,0.067146795,0.067368145,0.067590355,0.067813218,0.068036775,0.068261311,0.068487319,0.068716932,0.068952575,0.069193463,0.069438829,0.069688071,0.069940837,0.070197052,0.070456916,0.070720878,0.070989598,0.07126391,0.071544781,0.07185071,0.072160651,0.072474569,0.07279212,0.073112888,0.073436545,0.073762919,0.074092029,0.074424077,0.074759433,0.075098613,0.075442248,0.075780391,0.076116508,0.076441811,0.076750642,0.077039501,0.077306404,0.077550436,0.077771437,0.077969788,0.078146253,0.078301867,0.078437857
AK,0.003579216,0.005419308,0.006843336,0.008513775,0.010201776,0.011420561,0.012743737,0.01411904,0.015521738,0.01694704,0.018402759,0.019978425,0.021557941,0.023108399,0.024610242,0.026056219,0.027448654,0.028797983,0.030109694,0.031386627,0.032629,0.033837937,0.035016832,0.036096212,0.03717087,0.038243509,0.039314796,0.040385627,0.041458217,0.042543821,0.043629483,0.044703663,0.045758412,0.046789372,0.047795465,0.048752738,0.049685542,0.050587007,0.051451681,0.052275778,0.053057247,0.053795656,0.054491958,0.055148226,0.055767395,0.056353027,0.05690913,0.057439419,0.057947011,0.058435706,0.058907347,0.059362859,0.059802908,0.060228256,0.060639918,0.06103922,0.061427778,0.06180746,0.062180331,0.062563261,0.06293873,0.063301981,0.063649888,0.063980673,0.064293684,0.064589207,0.064868285,0.065132562,0.065384145,0.065625491,0.065859308,0.066069585,0.066280099,0.066492937,0.066708588,0.066926742,0.067146795,0.067368145,0.067590355,0.067813218,0.068036775,0.068261311,0.068487319,0.068716932,0.068952575,0.069193463,0.069438829,0.069688071,0.069940837,0.070197052,0.070456916,0.070720878,0.070989598,0.07126391,0.071544781,0.07185071,0.072160651,0.072474569,0.07279212,0.073112888,0.073436545,0.073762919,0.074092029,0.074424077,0.074759433,0.075098613,0.075442248,0.075780391,0.076116508,0.076441811,0.076750642,0.077039501,0.077306404,0.077550436,0.077771437,0.077969788,0.078146253,0.078301867,0.078437857
AL,0.003579216,0.005419308,0.006843336,0.008513775,0.010201776,0.011420561,0.012743737,0.01411904,0.015521738,0.01694704,0.018402759,0.019978425,0.021557941,0.023108399,0.024610242,0.026056219,0.027448654,0.028797983,0.030109694,0.031386627,0.032629,0.033837937,0.035016832,0.036096212,0.03717087,0.038243509,0.039314796,0.040385627,0.041458217,0.042543821,0.043629483,0.044703663,0.045758412,0.046789372,0.047795465,0.048752738,0.049685542,0.050587007,0.051451681,0.052275778,0.053057247,0.053795656,0.054491958,0.055148226,0.055767395,0.056353027,0.05690913,0.057439419,0.057947011,0.058435706,0.058907347,0.059362859,0.059802908,0.060228256,0.060639918,0.06103922,0.061427778,0.06180746,0.062180331,0.062563261,0.06293873,0.063301981,0.063649888,0.063980673,0.064293684,0.064589207,0.064868285,0.065132562,0.065384145,0.065625491,0.065859308,0.066069585,0.066280099,0.066492937,0.066708588,0.066926742,0.067146795,0.067368145,0.067590355,0.067813218,0.068036775,0.068261311,0.068487319,0.068716932,0.068952575,0.069193463,0.069438829,0.069688071,0.069940837,0.070197052,0.070456916,0.070720878,0.070989598,0.07126391,0.071544781,0.07185071,0.072160651,0.072474569,0.07279212,0.073112888,0.073436545,0.073762919,0.074092029,0.074424077,0.074759433,0.075098613,0.075442248,0.075780391,0.076116508,0.076441811,0.076750642,0.077039501,0.077306404,0.077550436,0.077771437,0.077969788,0.078146253,0.078301867,0.078437857
AR,0.003579216,0.005419308,0.006843336,0.008513775,0.010201776,0.011420561,0.012743737,0.01411904,0.015521738,0.01694704,0.018402759,0.019978425,0.021557941,0.023108399,0.024610242,0.026056219,0.027448654,0.028797983,0.030109694,0.031386627,0.032629,0.033837937,0.035016832,0.036096212,0.03717087,0.038243509,0.039314796,0.040385627,0.041458217,0.042543821,0.043629483,0.044703663,0.045758412,0.046789372,0.047795465,0.048752738,0.049685542,0.050587007,0.051451681,0.052275778,0.053057247,0.053795656,0.054491958,0.055148226,0.055767395,0.056353027,0.05690913,0.057439419,0.057947011,0.058435706,0.058907347,0.059362859,0.059802908,0.060228256,0.060639918,0.06103922,0.061427778,0.06180746,0.062180331,0.062563261,0.06293873,0.063301981,0.063649888,0.063980673,0.064293684,0.064589207,0.064868285,0.065132562,0.065384145,0.065625491,0.065859308,0.066069585,0.066280099,0.066492937,0.066708588,0.066926742,0.067146795,0.067368145,0.067590355,0.067813218,0.068036775,0.068261311,0.068487319,0.068716932,0.068952575,0.069193463,0.069438829,0.069688071,0.069940837,0.070197052,0.070456916,0.070720878,0.070989598,0.07126391,0.071544781,0.07185071,0.072160651,0.072474569,0.07279212,0.073112888,0.073436545,0.073762919,0.074092029,0.074424077,0.074759433,0.075098613,0.075442248,0.075780391,0.076116508,0.076441811,0.076750642,0.077039501,0.077306404,0.077550436,0.077771437,0.077969788,0.078146253,0.078301867,0.078437857
AZ,0.012757927,0.018256494,0.020052504,0.023831773,0.027998468,0.029837303,0.03208561,0.034477014,0.036879773,0.03925106,0.041601593,0.043754889,0.046089214,0.048570578,0.051160177,0.053830861,0.056571018,0.059239346,0.061925274,0.064577925,0.067165392,0.06967351,0.072102892,0.074291835,0.076459308,0.078616258,0.080768785,0.082924154,0.085093332,0.087094715,0.089150249,0.091247774,0.093374395,0.095520322,0.09768058,0.099842511,0.102011842,0.104180498,0.106338942,0.108478641,0.110593359,0.112679576,0.11473636,0.116764999,0.11876854,0.120751337,0.122718653,0.12464167,0.126535477,0.128383183,0.130173151,0.131898235,0.133555053,0.135143271,0.136664947,0.138123957,0.139525512,0.140875771,0.142181526,0.143402862,0.144596727,0.145770211,0.14692824,0.148074844,0.149213904,0.150349539,0.151486253,0.152628952,0.153782886,0.15495356,0.156146631,0.157414544,0.158691532,0.159958625,0.161200947,0.162407215,0.16356929,0.164681722,0.165741321,0.166746768,0.167698269,0.168597262,0.16944618,0.1702139,0.170951289,0.171669599,0.172375915,0.173074851,0.173769703,0.174463197,0.175157938,0.175856664,0.176562378,0.177278395,0.178008348,0.178749004,0.179511276,0.180295631,0.18110134,0.181927198,0.182771941,0.183634474,0.184513963,0.185409859,0.186321877,0.18724996,0.188194226,0.189073638,0.189969455,0.190875754,0.191789489,0.192709706,0.193637009,0.194573181,0.195520901,0.196483519,0.197464887,0.198469216,0.199500968
CA,0.009703466,0.014381953,0.017176577,0.021341086,0.025645619,0.028346166,0.031414695,0.034667661,0.037995302,0.04135214,0.044735653,0.048443003,0.052107324,0.055678082,0.059130763,0.062462987,0.065688643,0.06885823,0.071975736,0.075036813,0.078035629,0.080971584,0.083851283,0.086326084,0.088798964,0.091268882,0.093728777,0.096172583,0.098598402,0.100916786,0.103197678,0.105418376,0.107566143,0.109636887,0.111633765,0.113608972,0.115530617,0.117403133,0.119228164,0.121006768,0.122740711,0.124433025,0.126088125,0.127711683,0.129310393,0.130891712,0.132463611,0.134155878,0.135836399,0.13750251,0.139150215,0.140775784,0.142376569,0.143951313,0.145500133,0.147024361,0.148526316,0.150009064,0.151476198,0.1528594,0.154223318,0.155554288,0.156843004,0.158083871,0.159274408,0.160414671,0.161506727,0.162554187,0.163561814,0.164535199,0.165480498,0.166432073,0.167363853,0.168279436,0.169180588,0.170068231,0.170943047,0.171805798,0.172657475,0.173499327,0.174332852,0.175159741,0.175981834,0.176832783,0.177718299,0.178660871,0.179673661,0.180763943,0.181935369,0.18318943,0.184526378,0.185945787,0.187446891,0.189028774,0.190690463,0.192333599,0.194003382,0.195667969,0.197305052,0.19889911,0.2004395,0.201919104,0.20333336,0.204679564,0.205956367,0.207163404,0.208301036,0.209468741,0.210565135,0.211578507,0.212501764,0.213331084,0.214064979,0.214703631,0.215248414,0.215701549,0.216065861,0.2163446,0.216541311
CO,0.009097773,0.013555878,0.014762818,0.017595892,0.021036031,0.024909097,0.028866632,0.032763027,0.036550354,0.04022948,0.043825649,0.046975488,0.050149095,0.053283413,0.056342558,0.059313716,0.062201192,0.064806438,0.067363389,0.069863358,0.072299503,0.074670652,0.076982127,0.079195722,0.081344806,0.083421762,0.08542636,0.087364942,0.089249403,0.091112311,0.092950474,0.094757476,0.096526053,0.098251085,0.099930871,0.101671354,0.103349373,0.104947429,0.106452907,0.107857704,0.109157779,0.110352569,0.111444359,0.112437692,0.113338852,0.114155433,0.114895998,0.115336695,0.115744789,0.116137541,0.116524767,0.116912091,0.117303023,0.117700209,0.118106141,0.118523506,0.118955336,0.119405033,0.119876325,0.120458328,0.121045176,0.121623348,0.122183632,0.122720236,0.12323012,0.123712433,0.124168042,0.124599145,0.125008943,0.125401388,0.12578097,0.12610076,0.126437249,0.126800754,0.127195721,0.127623311,0.128083042,0.128573794,0.129094387,0.129643878,0.130221701,0.130827694,0.131462079,0.132212625,0.132990235,0.133790632,0.134610613,0.135447949,0.136301289,0.137170042,0.138054262,0.138954522,0.139871809,0.140807426,0.141762908,0.142558856,0.143356353,0.144141443,0.144903757,0.145635801,0.146332388,0.146990178,0.1476073,0.148183042,0.1487176,0.149211888,0.149667373,0.150133018,0.150572548,0.150990675,0.151391126,0.151777061,0.152151353,0.152516761,0.152876032,0.153231944,0.15358732,0.15394503,0.154307971
CT,0.006899703,0.009962232,0.010853081,0.01280165,0.014984644,0.016056864,0.017401671,0.018910281,0.020515569,0.022183545,0.023903055,0.025492652,0.027124243,0.028747136,0.030333942,0.031875587,0.033376141,0.034983071,0.036569767,0.038137473,0.039684568,0.041210716,0.042718374,0.044048324,0.045379955,0.046700001,0.047996906,0.049262689,0.05049347,0.051563282,0.052614453,0.05364945,0.054670508,0.055680899,0.05668549,0.057675132,0.058652637,0.059609131,0.060537902,0.061434511,0.062296755,0.06312443,0.063919002,0.064683245,0.06542091,0.066136433,0.066834691,0.067508198,0.068173561,0.068837982,0.069504489,0.070173875,0.070845918,0.071520101,0.072195989,0.072873418,0.073552555,0.074233897,0.074918239,0.075574876,0.076236851,0.076900802,0.07756404,0.078224716,0.078881881,0.079535436,0.080186035,0.080834957,0.08148398,0.082135257,0.082791213,0.083462909,0.084134348,0.084800007,0.085455543,0.086097702,0.086724219,0.087333702,0.087925498,0.088499567,0.089056362,0.089596726,0.090121804,0.090604194,0.091078556,0.091545417,0.092004767,0.092456412,0.092900205,0.09333616,0.093764505,0.094185691,0.094600379,0.095009408,0.09541377,0.095845781,0.096271187,0.096692136,0.097110207,0.097526693,0.097942777,0.098359627,0.098778449,0.099200502,0.099627094,0.100059573,0.100499312,0.100906435,0.101316742,0.101722379,0.10211812,0.102500621,0.102867914,0.103219036,0.103553765,0.103872423,0.104175729,0.104464697,0.104740551
DC,0.007210011,0.010345598,0.011142959,0.01335957,0.015902078,0.017150875,0.018755306,0.020564464,0.022480588,0.024452951,0.026463313,0.028380213,0.030323945,0.032245893,0.034122719,0.035950033,0.037736586,0.039601872,0.041453805,0.043290786,0.04510987,0.046910473,0.048695583,0.050249569,0.051816018,0.053379474,0.054924432,0.056438902,0.057915692,0.05922154,0.060500472,0.061755581,0.062990451,0.06421019,0.065421867,0.066594863,0.067758743,0.068907953,0.070038213,0.071146843,0.072232904,0.073297102,0.074341551,0.075369484,0.076384961,0.077392607,0.078397391,0.079415052,0.080431994,0.08145019,0.082468837,0.083486001,0.084499602,0.085507934,0.086509883,0.087504981,0.088493372,0.089475732,0.090453173,0.091373464,0.092290344,0.093199343,0.094097154,0.094981721,0.095852205,0.096708874,0.097552942,0.098386392,0.099211811,0.100032239,0.100851034,0.101729939,0.102600843,0.103458064,0.104297507,0.105116413,0.105913148,0.106687014,0.107438068,0.108166968,0.108874829,0.109563113,0.110233533,0.110892688,0.1115446,0.112192958,0.112839682,0.11348574,0.114131662,0.114777848,0.115424732,0.116072867,0.116722949,0.117375821,0.118032452,0.118659733,0.119285814,0.119909138,0.120528596,0.121143515,0.121753629,0.122359039,0.122960155,0.123557638,0.124152352,0.12474531,0.125337632,0.125944217,0.126550611,0.127148399,0.127731668,0.128296366,0.128839843,0.129360514,0.129857603,0.130330952,0.130780869,0.13120802,0.131613342
DE,0.006315082,0.009069617,0.009767634,0.011540901,0.013571468,0.014536654,0.01574971,0.01710154,0.018528528,0.02000153,0.021514247,0.022939493,0.02440973,0.025879036,0.027320869,0.028725097,0.030093936,0.031542031,0.032973923,0.034390609,0.035790119,0.037171494,0.038536315,0.039714314,0.040897058,0.042074331,0.043236843,0.044378246,0.045495804,0.046471978,0.047439221,0.048397003,0.049345415,0.050286158,0.051222927,0.052143907,0.053056951,0.053956066,0.054836174,0.055693656,0.05652661,0.05733481,0.058119502,0.058883124,0.059629024,0.060361195,0.061084059,0.06180801,0.062526183,0.063240931,0.063952213,0.064658949,0.065359856,0.066053891,0.066740452,0.067419435,0.06809121,0.06875657,0.069416651,0.070032493,0.070648068,0.071261802,0.071872338,0.072478821,0.073081035,0.073679427,0.074275049,0.074869478,0.075464709,0.076063063,0.076667087,0.077301788,0.077937775,0.078569617,0.0791929,0.079804212,0.08040109,0.080981927,0.081545858,0.08209264,0.082622537,0.083136217,0.083634663,0.084092332,0.08454096,0.084980811,0.085411721,0.08583342,0.086245732,0.086648678,0.087042519,0.087427756,0.087805111,0.088175501,0.088540003,0.088911349,0.089276365,0.089637371,0.089996027,0.09035364,0.090711354,0.091070268,0.091431492,0.09179617,0.092165488,0.092540662,0.09292293,0.093274604,0.093629405,0.093980075,0.094321798,0.094651514,0.094967444,0.095268752,0.095555294,0.09582744,0.096085937,0.096331807,0.096566274
