,US,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Jan-75,35.50,54.19,49.23,52.97,42.53,18.02,41.12,25.95,23.16,32.47,38.52,46.39,22.34,45.61,55.02,39.27,45.2,51.27,42.75,48.8,23.46,30.36,15.9,39.16,39.23,42.65,59.33,45.06,40.17,63.45,50.16,23.35,28.37,40.42,36.05,28.45,44.29,51.16,37.17,36.23,23.22,46.39,53.11,45.47,45.86,44.35,38.09,35.79,25.2,43.85,39.67,55
Feb-75,35.80,53.63,49.09,51.51,43.2,18.19,41.17,25.91,23.7,34.33,42.29,46.01,21.97,47.43,53.81,38.58,44.59,51.35,43.26,50.01,23.28,30.46,21.32,39.69,39.15,44.29,58.46,45.55,40.37,60.92,49.72,25.9,27.81,41.14,35.5,28.17,44.21,51.36,37.3,36.02,23.78,45.62,53.71,45.51,46.68,44.79,37.45,36.03,25.41,44.09,45.19,54.68
Mar-75,36.20,52.79,48.79,49.38,44.13,18.35,41.24,25.88,24.41,35.47,47.69,45.42,21.52,49.66,52.49,37.71,43.76,51.3,43.82,51.67,23.04,30.51,28.61,40.28,38.95,46.67,57.33,45.94,40.57,57.39,49.33,29.33,27.15,41.98,34.67,27.76,44.17,51.69,37.3,35.59,24.46,44.61,54.86,45.66,47.81,45.44,36.65,36.82,25.55,44.32,51.77,54.19
Apr-75,36.50,51.96,48.5,47.25,45.07,18.5,41.32,25.84,25.12,36.62,53.08,44.83,21.07,51.89,51.17,36.85,42.93,51.26,44.38,53.32,22.8,30.55,35.89,40.86,38.76,49.05,56.21,46.33,40.77,53.86,48.94,32.75,26.49,42.82,33.85,27.36,44.12,52.02,37.3,35.16,25.14,43.6,56.02,45.82,48.94,46.09,35.85,37.62,25.7,44.55,58.35,53.7
May-75,36.90,51.13,48.21,45.12,46,18.66,41.39,25.8,25.82,37.76,58.48,44.24,20.62,54.12,49.85,35.98,42.09,51.21,44.95,54.98,22.55,30.6,43.18,41.45,38.56,51.44,55.08,46.72,40.97,50.33,48.55,36.18,25.83,43.66,33.03,26.96,44.07,52.35,37.3,34.73,25.82,42.59,57.18,45.97,50.06,46.74,35.05,38.41,25.85,44.78,64.93,53.21
Jun-75,36.80,52.12,48.98,47.6,45.17,18.89,41.35,25.76,25.4,43.81,52.79,45.06,20.7,53.6,49.25,36.36,42.83,52.05,45.1,53.56,22.71,31.01,37.67,41.64,39.15,48.7,55.71,47.73,41.16,53.66,47.84,33.65,25.85,43.7,34.06,27.36,43.81,51.79,38.22,35.85,25.65,43.23,54.49,45.36,49.09,45.97,35.39,35.4,26.39,45.08,64.24,53.93
Jul-75,36.70,53.11,49.76,50.08,44.33,19.12,41.32,25.71,24.97,49.86,47.1,45.87,20.79,53.08,48.65,36.74,43.56,52.89,45.24,52.14,22.86,31.42,32.17,41.82,39.74,45.97,56.34,48.74,41.36,57,47.12,31.12,25.88,43.74,35.1,27.76,43.54,51.22,39.14,36.98,25.47,43.88,51.8,44.75,48.12,45.21,35.73,32.38,26.93,45.38,63.54,54.65
Aug-75,36.70,54.1,50.54,52.57,43.5,19.36,41.29,25.67,24.54,55.91,41.41,46.68,20.87,52.56,48.05,37.12,44.29,53.74,45.39,50.72,23.01,31.82,26.67,42.01,40.34,43.24,56.98,49.75,41.56,60.34,46.4,28.58,25.91,43.78,36.14,28.16,43.28,50.66,40.06,38.11,25.3,44.52,49.11,44.14,47.15,44.44,36.06,29.36,27.48,45.68,62.85,55.37
Sep-75,36.90,53.7,49.06,50.25,42.49,19.58,41.61,25.63,26.19,47.05,42.41,46.39,21.6,53.33,47.84,37.81,44.25,53.59,45.84,51.81,23.62,32.17,28.64,41.66,40.85,43.55,56.77,48.98,42.19,58.17,49.03,28.17,26.53,42.6,36.59,28.38,43.79,51.07,39.45,37.44,25.77,43.94,49.98,45.48,48.47,46.21,36.06,31.38,26.98,47.14,63.15,56.55
Oct-75,37.20,53.3,47.59,47.93,41.48,19.8,41.94,25.59,27.84,38.19,43.42,46.1,22.33,54.1,47.63,38.51,44.21,53.45,46.28,52.9,24.24,32.52,30.6,41.32,41.36,43.86,56.57,48.2,42.81,56.01,51.65,27.76,27.15,41.42,37.04,28.59,44.31,51.48,38.83,36.78,26.25,43.36,50.84,46.82,49.78,47.98,36.06,33.39,26.49,48.6,63.45,57.72
Nov-75,37.50,52.91,46.11,45.61,40.47,20.03,42.27,25.56,29.49,29.33,44.43,45.81,23.06,54.87,47.42,39.21,44.16,53.31,46.72,53.99,24.85,32.87,32.57,40.97,41.87,44.18,56.36,47.43,43.44,53.85,54.27,27.35,27.77,40.25,37.49,28.81,44.83,51.89,38.22,36.11,26.72,42.78,51.7,48.17,51.09,49.75,36.05,35.4,26,50.06,63.75,58.9
Dec-75,37.50,54.09,48.18,47.67,41.08,20.3,41.88,26.09,28.22,31.42,43.96,45.34,22.34,55.04,47.95,39.08,43.49,54.22,46.97,54.98,24.32,32.74,29.38,41.29,42.73,44.23,56.55,47.89,43,57.96,53.57,29.48,27.46,41.61,38.24,27.9,44.86,51.97,39.57,36.31,26.26,42.58,50.49,47.78,50.38,49.74,36.41,33.88,26.54,48.84,61.65,59.57
Jan-76,37.50,55.27,50.24,49.72,41.7,20.57,41.5,26.63,26.96,33.5,43.5,44.86,21.62,55.22,48.47,38.94,42.81,55.13,47.22,55.97,23.78,32.61,26.19,41.61,43.59,44.28,56.73,48.36,42.57,62.08,52.86,31.61,27.15,42.97,39,27,44.88,52.04,40.92,36.51,25.8,42.39,49.28,47.4,49.67,49.72,36.77,32.36,27.08,47.62,59.55,60.24
Feb-76,37.50,56.45,52.31,51.78,42.31,20.84,41.12,27.17,25.69,35.59,43.04,44.39,20.91,55.39,49,38.81,42.13,56.04,47.46,56.96,23.24,32.49,23,41.93,44.45,44.33,56.91,48.82,42.13,66.19,52.15,33.74,26.84,44.33,39.75,26.09,44.9,52.12,42.27,36.71,25.34,42.2,48.06,47.02,48.96,49.7,37.13,30.83,27.62,46.41,57.44,60.91
Mar-76,38.20,57.02,51.88,52.32,44.06,21.2,42.74,26.88,26.5,36.7,45.75,44.58,21.33,56.1,50.73,39.39,43.61,56.17,47.14,57.12,23.46,33.11,25.38,42.1,44.27,47.66,58.15,50.91,42.22,65.3,52.98,28.47,27.02,44.59,39.23,26.31,45.52,54.89,41.96,37.6,25.73,44.5,50.15,46.49,50.97,49.64,36.86,28.58,28.22,46.56,59.6,61.15
Apr-76,38.80,57.59,51.44,52.87,45.8,21.55,44.35,26.59,27.3,37.81,48.47,44.77,21.75,56.8,52.46,39.97,45.08,56.3,46.83,57.27,23.69,33.73,27.76,42.27,44.09,51,59.39,53,42.31,64.4,53.82,23.19,27.2,44.84,38.72,26.53,46.14,57.65,41.64,38.48,26.11,46.8,52.24,45.95,52.97,49.57,36.58,26.33,28.82,46.72,61.76,61.39
May-76,39.50,58.16,51.01,53.41,47.54,21.9,45.97,26.3,28.11,38.93,51.18,44.95,22.18,57.5,54.2,40.54,46.56,56.43,46.51,57.42,23.91,34.35,30.15,42.44,43.91,54.34,60.63,55.09,42.4,63.5,54.65,17.92,27.39,45.1,38.2,26.75,46.76,60.42,41.33,39.37,26.49,49.1,54.32,45.42,54.98,49.51,36.3,24.08,29.42,46.88,63.92,61.63
Jun-76,39.60,59.48,51.22,54.16,46.64,22.44,45.73,26.81,29.14,37.48,48.72,46.64,21.78,58.72,53.56,41.35,46.14,56.67,46.6,56.99,23.84,34.38,33.08,42.41,44.04,51.7,58.48,54.33,42.55,62.3,53.81,23.41,27.96,45.78,38.42,26.94,47.3,59.36,42.28,39.44,26.97,48.13,54.95,46.29,54.41,50.64,36.76,29.76,30,47.36,64.78,62.78
Jul-76,39.80,60.8,51.43,54.9,45.73,22.97,45.5,27.32,30.18,36.04,46.25,48.33,21.38,59.93,52.93,42.15,45.73,56.9,46.69,56.55,23.76,34.41,36.01,42.39,44.17,49.06,56.32,53.57,42.69,61.09,52.96,28.89,28.54,46.46,38.64,27.14,47.85,58.29,43.23,39.51,27.46,47.16,55.58,47.15,53.84,51.76,37.21,35.45,30.59,47.85,65.63,63.93
Aug-76,40.00,62.12,51.65,55.65,44.83,23.5,45.26,27.83,31.22,34.59,43.78,50.02,20.99,61.14,52.3,42.95,45.31,57.14,46.78,56.11,23.69,34.44,38.94,42.36,44.3,46.43,54.16,52.81,42.84,59.88,52.12,34.38,29.11,47.14,38.86,27.33,48.39,57.22,44.18,39.57,27.94,46.19,56.2,48.02,53.26,52.89,37.67,41.14,31.17,48.34,66.48,65.08
Sep-76,40.10,60.67,52.17,55.81,44.82,23.74,45.74,28.11,30.91,35.59,44.6,49.59,21.32,60.54,52.69,42.62,46.7,57.81,47.01,57.62,23.92,34.79,35.24,42.69,44.54,46.57,58.02,53.09,43.18,61.64,53.17,33.8,28.18,47.14,39.76,27.04,48.64,58.45,44.97,39.17,27.72,46.49,54.95,47.85,53.31,52.46,37.86,40.11,31.32,48.43,63.65,66.34
Oct-76,40.30,59.21,52.69,55.97,44.82,23.98,46.22,28.38,30.61,36.59,45.42,49.16,21.66,59.95,53.09,42.28,48.09,58.48,47.24,59.14,24.15,35.14,31.54,43.03,44.79,46.71,61.88,53.36,43.52,63.41,54.21,33.21,27.26,47.14,40.66,26.75,48.89,59.69,45.76,38.77,27.51,46.8,53.69,47.67,53.36,52.04,38.05,39.09,31.46,48.53,60.82,67.6
Nov-76,40.40,57.75,53.21,56.13,44.81,24.22,46.7,28.66,30.3,37.59,46.23,48.73,21.99,59.35,53.49,41.95,49.49,59.15,47.48,60.66,24.37,35.49,27.85,43.36,45.03,46.85,65.74,53.63,43.86,65.17,55.26,32.63,26.33,47.13,41.56,26.46,49.14,60.92,46.55,38.37,27.3,47.1,52.44,47.5,53.4,51.61,38.24,38.06,31.61,48.62,57.99,68.87
Dec-76,40.80,60.74,53.7,56.4,45.52,24.55,47.52,27.73,30.44,36.79,45.85,48.37,21.81,60.54,54.49,43.62,49.39,59.53,47.41,60.68,24.72,35.38,29.95,43.74,45.62,46.89,63.06,54.34,44.36,66.74,55.54,30.28,27.03,48.7,41.73,26.92,49.34,61.45,47.43,37.98,27.15,46.56,50.48,48.75,54.18,53.14,38.51,37.44,31.99,49.77,60.36,69.22
