Date,Comp,LA,MIA,NY,PX,CHI,DET,DC,OAK,TX,SF,SEA,Common Factor
Feb-75,7.1635835249,15.9919520794,112.1328180093,-16.5039910805,18.7610029392,-21.0647208145,16.3016732243,-11.3997057428,11.2801494143,21.2670359863,,,0
Mar-75,9.1244317268,17.6693904431,143.9358397902,-21.1084228268,25.3596357973,-27.541091314,17.5893975581,-14.9833865933,10.5206153322,28.7028182636,,,0
Apr-75,9.028571637,17.4129884678,128.5768436111,-21.5833892914,24.8347824697,-27.840286351,17.3352952411,-15.5644205312,11.0780042792,28.0322824518,,,0
May-75,8.946155051,17.6220084847,116.1237361118,-22.1884639697,24.3312145112,-28.8576956297,17.0884301904,-15.7689522733,10.3337560019,27.1526735869,,,0
Jun-75,-4.2075562781,2.6667548966,-122.5364813775,11.7099358965,-21.7466776515,13.8115734512,5.5454312478,11.0599861259,10.8829766998,-23.4803255204,,,0
Jul-75,-4.1789722997,2.9091957394,-136.4871928477,11.664676452,-21.8851050451,13.3062349664,5.2300324919,11.3485274308,10.7851637969,-23.9489483562,,,0
Aug-75,-4.2390131705,2.9021599431,-153.9192105932,11.4851245781,-22.5595497315,13.5046873281,5.2073370047,10.8562937545,10.0629520515,-24.4366584324,,,0
Sep-75,9.4345244427,20.5030449733,25.9272731625,18.0831636603,-28.1919448836,15.0558005768,-9.8551278549,-3.8659827252,19.2600562097,33.1332489334,,,0
Oct-75,9.2628965017,20.1586093566,25.4826628081,17.8062219626,-29.151231085,14.5333419853,-9.9367348107,-4.2670159717,18.3489813581,32.0018964986,,,0
Nov-75,9.1776553983,19.8255552999,24.7654524689,17.1471603536,-29.588981266,14.3594311158,-10.0197045782,-3.892316095,18.0726307509,31.1705836839,,,0
Dec-75,1.6711737207,21.7114613817,6.0365115664,-16.7513842732,18.0110587467,-4.6563251328,9.1389705937,-5.0789592342,27.1932818671,-16.7934149019,,,0
