date,Comp,LA,MIA,NY,PX
May-15,2.2701,1.824,8.6258,2.5425,5.3175
Jun-15,2.3914,1.9385,8.4968,2.6764,5.3526
Jul-15,2.4635,2.0113,8.3111,2.7541,5.3252
Aug-15,2.4367,1.9907,8.0243,2.7278,5.1905
Sep-15,2.3841,1.9481,7.7132,2.6718,5.0252
Oct-15,2.3129,1.8895,7.3879,2.5946,4.8393
Nov-15,2.2793,1.8704,7.1065,2.5531,4.6909
Dec-15,2.2369,1.8435,6.824,2.5015,4.535
Jan-16,2.1892,1.8121,6.5449,2.4439,4.3763
Feb-16,2.1391,1.7783,6.2723,2.3833,4.2183
Mar-16,2.0884,1.7441,6.0087,2.3221,4.0634
Apr-16,2.0388,1.7107,5.7555,2.2618,3.9135
May-16,1.9754,1.663,5.4979,2.1878,3.7538
Jun-16,1.9148,1.6179,5.2525,2.117,3.6012
Jul-16,1.8577,1.5756,5.0195,2.0498,3.4561
Aug-16,1.8042,1.5364,4.7989,1.9866,3.3189
Sep-16,1.7545,1.5003,4.5905,1.9276,3.1895
Oct-16,1.7086,1.4676,4.3941,1.8729,3.0679
Nov-16,1.6644,1.4359,4.207,1.82,2.9517
Dec-16,1.624,1.4074,4.0313,1.7715,2.843
Jan-17,1.5876,1.3823,3.8665,1.7273,2.7418
Feb-17,1.5549,1.3604,3.7123,1.6873,2.6477
Mar-17,1.5259,1.3417,3.5681,1.6512,2.5604
Apr-17,1.5005,1.326,3.4336,1.6192,2.4798
May-17,1.4868,1.3216,3.3166,1.5992,2.4139
Jun-17,1.4766,1.3201,3.2085,1.5829,2.3541
Jul-17,1.4698,1.3216,3.1091,1.5704,2.3004
Aug-17,1.4662,1.3259,3.0179,1.5615,2.2524
Sep-17,1.4659,1.3331,2.9345,1.5561,2.21
Oct-17,1.4687,1.3429,2.8587,1.554,2.173
Nov-17,1.4597,1.3406,2.7754,1.5405,2.1264
Dec-17,1.4538,1.341,2.699,1.5302,2.0847
Jan-18,1.4505,1.3438,2.6291,1.5228,2.0477
Feb-18,1.4497,1.3487,2.5652,1.5181,2.0149
Mar-18,1.4513,1.3556,2.507,1.516,1.9862
Apr-18,1.4549,1.3644,2.4542,1.5162,1.9612
May-18,1.4511,1.3653,2.3968,1.509,1.9303
Jun-18,1.4491,1.3679,2.3442,1.504,1.9026
Jul-18,1.4489,1.372,2.296,1.5008,1.8781
Aug-18,1.4501,1.3774,2.2519,1.4992,1.8564
Sep-18,1.4528,1.3839,2.2117,1.4993,1.8373
Oct-18,1.4567,1.3916,2.175,1.5007,1.8206
Nov-18,1.4618,1.4001,2.1416,1.5034,1.8062
Dec-18,1.468,1.4096,2.1114,1.5074,1.794
Jan-19,1.4752,1.4199,2.0841,1.5124,1.7837
Feb-19,1.4832,1.4309,2.0596,1.5185,1.7752
Mar-19,1.4922,1.4426,2.0376,1.5255,1.7685
Apr-19,1.5019,1.455,2.0182,1.5335,1.7635
May-19,1.5077,1.4633,1.9964,1.5376,1.7553
Jun-19,1.5143,1.4723,1.9767,1.5426,1.7486
Jul-19,1.5215,1.4817,1.9592,1.5483,1.7433
Aug-19,1.5293,1.4917,1.9436,1.5546,1.7392
Sep-19,1.5377,1.502,1.9298,1.5616,1.7363
Oct-19,1.5465,1.5128,1.9176,1.5692,1.7345
Nov-19,1.5557,1.5238,1.907,1.5772,1.7337
Dec-19,1.5654,1.5351,1.8978,1.5857,1.7338
Jan-20,1.5754,1.5467,1.89,1.5945,1.7347
Feb-20,1.5857,1.5586,1.8834,1.6038,1.7365
Mar-20,1.5963,1.5706,1.8781,1.6135,1.739
Apr-20,1.6072,1.5829,1.8739,1.6234,1.7423
May-20,1.6215,1.5985,1.8739,1.6369,1.7494
Jun-20,1.6361,1.6144,1.8751,1.6507,1.7572
Jul-20,1.6511,1.6305,1.8772,1.6649,1.7656
Aug-20,1.6664,1.6469,1.8804,1.6794,1.7748
Sep-20,1.682,1.6635,1.8846,1.6943,1.7846
Oct-20,1.6979,1.6804,1.8896,1.7096,1.795
Nov-20,1.7141,1.6975,1.8955,1.7251,1.806
Dec-20,1.7305,1.7148,1.9022,1.741,1.8175
Jan-21,1.7472,1.7324,1.9098,1.7571,1.8295
Feb-21,1.7642,1.7502,1.918,1.7735,1.8421
Mar-21,1.7814,1.7681,1.927,1.7902,1.8551
Apr-21,1.7988,1.7863,1.9366,1.8072,1.8686
May-21,1.8082,1.7963,1.9387,1.8162,1.8743
Jun-21,1.8179,1.8066,1.9413,1.8254,1.8804
Jul-21,1.8277,1.8171,1.9446,1.8348,1.8869
Aug-21,1.8376,1.8276,1.9482,1.8444,1.8936
Sep-21,1.8476,1.838,1.9523,1.854,1.9006
Oct-21,1.8575,1.8485,1.9566,1.8636,1.9077
Nov-21,1.8674,1.8589,1.9612,1.8731,1.9149
Dec-21,1.8773,1.8692,1.966,1.8827,1.9222
Jan-22,1.887,1.8794,1.971,1.8921,1.9296
Feb-22,1.8967,1.8894,1.9762,1.9015,1.9369
Mar-22,1.9062,1.8994,1.9815,1.9108,1.9443
Apr-22,1.9157,1.9092,1.9869,1.92,1.9518
May-22,1.9247,1.9185,1.9921,1.9288,1.9588
Jun-22,1.9336,1.9278,1.9974,1.9375,1.9659
Jul-22,1.9424,1.9369,2.0028,1.9461,1.973
Aug-22,1.9511,1.9459,2.0082,1.9546,1.98
Sep-22,1.9597,1.9547,2.0137,1.9629,1.987
Oct-22,1.9681,1.9635,2.0193,1.9712,1.9941
Nov-22,1.9765,1.9721,2.0249,1.9794,2.001
Dec-22,1.9847,1.9806,2.0306,1.9875,2.008
Jan-23,1.9929,1.9889,2.0363,1.9955,2.0149
Feb-23,2.0009,1.9972,2.042,2.0034,2.0217
Mar-23,2.0089,2.0053,2.0477,2.0112,2.0286
Apr-23,2.0167,2.0133,2.0535,2.0189,2.0353
May-23,2.0215,2.0183,2.0563,2.0236,2.0391
Jun-23,2.0261,2.0231,2.0591,2.0281,2.0428
Jul-23,2.0306,2.0278,2.0618,2.0325,2.0464
Aug-23,2.035,2.0323,2.0645,2.0368,2.0499
Sep-23,2.0392,2.0367,2.0672,2.0409,2.0534
Oct-23,2.0433,2.0409,2.0698,2.0449,2.0567
Nov-23,2.0473,2.045,2.0723,2.0488,2.0599
Dec-23,2.051,2.0489,2.0747,2.0525,2.063
Jan-24,2.0547,2.0526,2.0771,2.056,2.066
Feb-24,2.0581,2.0562,2.0793,2.0594,2.0689
Mar-24,2.0615,2.0596,2.0815,2.0627,2.0716
Apr-24,2.0646,2.0629,2.0836,2.0658,2.0743
May-24,2.0701,2.0685,2.0881,2.0712,2.0792
Jun-24,2.0754,2.0739,2.0925,2.0765,2.0841
Jul-24,2.0807,2.0792,2.0968,2.0816,2.0888
Aug-24,2.0858,2.0844,2.1011,2.0867,2.0935
Sep-24,2.0909,2.0895,2.1053,2.0917,2.0982
Oct-24,2.0959,2.0946,2.1095,2.0967,2.1028
Nov-24,2.1008,2.0996,2.1138,2.1016,2.1074
Dec-24,2.1057,2.1046,2.118,2.1065,2.1119
Jan-25,2.1106,2.1095,2.1222,2.1113,2.1165
Feb-25,2.1154,2.1144,2.1264,2.1161,2.121
Mar-25,2.1203,2.1193,2.1307,2.1209,2.1255
Apr-25,2.1251,2.1242,2.1349,2.1257,2.13
May-25,2.1292,2.1283,2.1385,2.1298,2.1339
Jun-25,2.1333,2.1325,2.1421,2.1339,2.1378
Jul-25,2.1375,2.1367,2.1458,2.138,2.1417
Aug-25,2.1416,2.1409,2.1495,2.1421,2.1456
Sep-25,2.1457,2.145,2.1532,2.1462,2.1495
Oct-25,2.1498,2.1491,2.1569,2.1502,2.1534
Nov-25,2.1538,2.1532,2.1605,2.1543,2.1572
Dec-25,2.1579,2.1573,2.1642,2.1583,2.1611
Jan-26,2.1619,2.1614,2.1679,2.1623,2.1649
Feb-26,2.1659,2.1654,2.1716,2.1663,2.1688
Mar-26,2.1699,2.1694,2.1753,2.1702,2.1726
Apr-26,2.1739,2.1734,2.1789,2.1742,2.1764
May-26,2.1778,2.1774,2.1826,2.1781,2.1802
Jun-26,2.1817,2.1813,2.1863,2.182,2.184
Jul-26,2.1857,2.1853,2.19,2.1859,2.1879
Aug-26,2.1896,2.1892,2.1937,2.1899,2.1917
Sep-26,2.1935,2.1932,2.1974,2.1938,2.1955
Oct-26,2.1974,2.1971,2.2011,2.1977,2.1993
Nov-26,2.2013,2.201,2.2048,2.2015,2.2031
Dec-26,2.2052,2.2049,2.2085,2.2054,2.2069
Jan-27,2.2091,2.2088,2.2122,2.2093,2.2106
Feb-27,2.2129,2.2127,2.2159,2.2131,2.2144
Mar-27,2.2168,2.2165,2.2195,2.2169,2.2182
Apr-27,2.2206,2.2203,2.2232,2.2207,2.2219
May-27,2.223,2.2228,2.2255,2.2232,2.2243
Jun-27,2.2254,2.2252,2.2278,2.2256,2.2266
Jul-27,2.2278,2.2276,2.2301,2.228,2.229
Aug-27,2.2302,2.23,2.2323,2.2303,2.2313
Sep-27,2.2326,2.2324,2.2346,2.2327,2.2336
Oct-27,2.2349,2.2347,2.2367,2.235,2.2358
Nov-27,2.2371,2.237,2.2389,2.2372,2.238
Dec-27,2.2393,2.2392,2.241,2.2394,2.2402
Jan-28,2.2415,2.2413,2.2431,2.2416,2.2423
Feb-28,2.2436,2.2435,2.2451,2.2437,2.2444
Mar-28,2.2457,2.2455,2.2471,2.2457,2.2464
Apr-28,2.2477,2.2476,2.249,2.2478,2.2484
May-28,2.2497,2.2495,2.2509,2.2497,2.2503
Jun-28,2.2516,2.2515,2.2528,2.2517,2.2522
Jul-28,2.2535,2.2534,2.2546,2.2535,2.254
Aug-28,2.2553,2.2552,2.2564,2.2554,2.2559
Sep-28,2.2571,2.257,2.2582,2.2572,2.2577
Oct-28,2.2589,2.2588,2.2599,2.259,2.2594
Nov-28,2.2606,2.2606,2.2616,2.2607,2.2611
Dec-28,2.2623,2.2623,2.2632,2.2624,2.2628
Jan-29,2.264,2.2639,2.2648,2.2641,2.2644
Feb-29,2.2656,2.2656,2.2664,2.2657,2.266
Mar-29,2.2672,2.2672,2.268,2.2673,2.2676
Apr-29,2.2688,2.2687,2.2695,2.2688,2.2691
May-29,2.2703,2.2703,2.271,2.2704,2.2707
Jun-29,2.2718,2.2718,2.2725,2.2719,2.2722
Jul-29,2.2733,2.2733,2.2739,2.2734,2.2736
Aug-29,2.2748,2.2748,2.2754,2.2749,2.2751
Sep-29,2.2763,2.2762,2.2768,2.2763,2.2765
Oct-29,2.2777,2.2776,2.2782,2.2777,2.278
Nov-29,2.2791,2.2791,2.2796,2.2791,2.2793
Dec-29,2.2805,2.2804,2.2809,2.2805,2.2807
Jan-30,2.2818,2.2818,2.2823,2.2819,2.2821
Feb-30,2.2832,2.2832,2.2836,2.2832,2.2834
Mar-30,2.2845,2.2845,2.2849,2.2845,2.2847
Apr-30,2.2858,2.2858,2.2862,2.2858,2.286
May-30,2.2864,2.2864,2.2867,2.2864,2.2866
Jun-30,2.287,2.2869,2.2873,2.287,2.2871
Jul-30,2.2875,2.2875,2.2878,2.2875,2.2877
Aug-30,2.288,2.288,2.2883,2.288,2.2882
Sep-30,2.2885,2.2884,2.2887,2.2885,2.2886
Oct-30,2.2889,2.2889,2.2892,2.2889,2.289
Nov-30,2.2893,2.2893,2.2895,2.2893,2.2894
Dec-30,2.2896,2.2896,2.2898,2.2896,2.2897
Jan-31,2.2899,2.2899,2.2901,2.2899,2.29
Feb-31,2.2901,2.2901,2.2903,2.2901,2.2902
Mar-31,2.2903,2.2903,2.2905,2.2903,2.2904
Apr-31,2.2904,2.2904,2.2906,2.2905,2.2905
May-31,2.2905,2.2905,2.2907,2.2906,2.2906
Jun-31,2.2906,2.2906,2.2908,2.2906,2.2907
Jul-31,2.2906,2.2906,2.2908,2.2906,2.2907
Aug-31,2.2906,2.2906,2.2908,2.2906,2.2907
Sep-31,2.2906,2.2905,2.2907,2.2906,2.2906
Oct-31,2.2905,2.2905,2.2906,2.2905,2.2905
Nov-31,2.2903,2.2903,2.2905,2.2903,2.2904
Dec-31,2.2902,2.2902,2.2903,2.2902,2.2902
Jan-32,2.29,2.29,2.2901,2.29,2.29
Feb-32,2.2898,2.2897,2.2899,2.2898,2.2898
