,Comp,LA,MIA,NY,PX,alpha
US,0.727,-0.174,-0.004,-0.017,0.091,-0.006553609
AK,0,-0.077,0.004,0.269,0.088,-0.0016000692
AL,0.193,-0.211,-0.069,0.11,0.236,-0.0130171277
AR,0.362,-0.262,0.07,0.001,0.082,-0.0114946554
AZ,0,-0.069,0,0.205,0.833,-0.0031615222
CA,1.368,0.421,0.11,-0.472,-0.091,-0.0030899556
CO,2.66,-0.956,-0.115,-0.809,-0.088,0.0133890969
CT,0.055,0.087,-0.175,0.773,0.08,-0.0127727178
DC,0,0.453,-0.137,0.49,0.044,0.0284829645
DE,0,0.086,-0.139,0.622,0.174,-0.0108015351
FL,0,0.04,0.503,0.213,0.236,-0.0070393525
GA,1.678,-0.443,-0.348,-0.418,0.242,-0.0111702945
HI,0,0.156,0.092,0.48,0.112,-0.0066853049
IA,1.057,-0.475,0.017,-0.262,-0.041,-0.0067507429
ID,0,-0.305,0.021,0.195,0.517,-0.0075206003
IL,0.763,-0.404,0.107,0.165,0.001,-0.0138847836
IN,1.174,-0.421,-0.009,-0.422,-0.044,-0.0155251165
KS,0.988,-0.412,-0.098,-0.171,0.035,-0.0071783132
KY,0.873,-0.381,-0.044,-0.141,0.002,-0.0090748173
LA,0.026,-0.14,0.065,0.052,0.133,-0.0020553391
MA,1.962,-0.392,-0.32,0.09,-0.179,0.0050135008
MD,0,0.099,0.231,0.472,0.027,-0.0028867666
ME,0.392,-0.013,-0.189,0.608,0.001,-0.0046628025
MI,3.135,-0.798,-0.31,-1.087,-0.054,-0.0118975711
MN,1.999,-0.59,-0.16,-0.196,-0.059,0.001289904
MO,0.989,-0.372,-0.089,-0.076,0.058,-0.0091751256
MS,0.209,-0.225,0.033,0.014,0.163,-0.0136521351
MT,0,-0.383,0.283,0.235,0.135,0.007420026
NC,0.553,-0.289,-0.165,0.016,0.215,-0.0103812077
ND,0.066,-0.102,0.181,-0.213,-0.009,0.005112145
NE,1.31,-0.454,-0.009,-0.504,-0.066,-0.0067614652
